"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28179-32564","WR","Josh","Josh Doctson","Doctson","1.600000023841858","1","5700","IND@WAS","WAS","IND","","","","",""
"28179-54244","WR","Kenny","Kenny Golladay","Golladay","14.899999618530273","1","5700","DET@SF","DET","SF","","","","",""
"28179-26610","WR","Paul","Paul Richardson Jr.","Richardson Jr.","4.199999809265137","1","5700","IND@WAS","WAS","IND","","","","",""
"28179-79974","RB","Tarik","Tarik Cohen","Cohen","5.599999904632568","1","5600","SEA@CHI","CHI","SEA","","","","",""
"28179-80001","RB","Austin","Austin Ekeler","Ekeler","21.100000381469727","1","5600","LAC@BUF","LAC","BUF","","","","",""
"28179-53640","RB","Sony","Sony Michel","Michel","0","0","5600","NE@JAC","NE","JAC","Q","Knee","","",""
"28179-27050","WR","Tyler","Tyler Lockett","Lockett","13.399999618530273","1","5600","SEA@CHI","SEA","CHI","","","","",""
"28179-6774","WR","Pierre","Pierre Garcon","Garcon","3.0999999046325684","1","5600","DET@SF","SF","DET","","","","",""
"28179-39793","TE","George","George Kittle","Kittle","11.5","1","5600","DET@SF","SF","DET","","","","",""
"28179-39859","TE","Jack","Jack Doyle","Doyle","7.5","1","5600","IND@WAS","IND","WAS","","","","",""
"28179-79998","WR","Keelan","Keelan Cole","Cole","6.900000095367432","1","5500","NE@JAC","JAC","NE","","","","",""
"28179-63625","RB","Nyheim","Nyheim Hines","Hines","8.699999809265137","1","5500","IND@WAS","IND","WAS","","","","",""
"28179-22018","WR","Mohamed","Mohamed Sanu","Sanu","3.799999952316284","1","5500","CAR@ATL","ATL","CAR","","","","",""
"28179-41475","WR","John","John Ross","Ross","6.800000190734863","1","5500","BAL@CIN","CIN","BAL","","","","",""
"28179-34331","RB","Latavius","Latavius Murray","Murray","4.199999809265137","1","5500","MIN@GB","MIN","GB","","","","",""
"28179-25272","TE","Eric","Eric Ebron","Ebron","13.100000381469727","1","5500","IND@WAS","IND","WAS","","","","",""
"28179-33557","TE","Tyler","Tyler Eifert","Eifert","5.900000095367432","1","5500","BAL@CIN","CIN","BAL","","","","",""
"28179-25760","WR","Allen","Allen Hurns","Hurns","2.5","1","5400","NYG@DAL","DAL","NYG","","","","",""
"28179-24929","WR","Kelvin","Kelvin Benjamin","Benjamin","1.5","1","5400","LAC@BUF","BUF","LAC","","","","",""
"28179-39286","TE","O.J.","O.J. Howard","Howard","6.400000095367432","1","5400","PHI@TB","TB","PHI","","","","",""
